year,month,rank_ME,rank_Fq_1,nstocks,ret_vw
1985,1,1,1,82,13.7477
1985,1,1,2,77,17.6735
1985,1,1,3,82,14.5138
1985,1,1,4,77,12.9293
1985,1,1,5,62,11.1963
1985,1,2,1,15,17.9413
1985,1,2,2,21,12.1851
1985,1,2,3,21,13.0144
1985,1,2,4,13,13.4275
1985,1,2,5,18,11.9927
1985,1,3,1,6,8.6345
1985,1,3,2,16,11.9353
1985,1,3,3,14,4.1255
1985,1,3,4,13,8.9248
1985,1,3,5,13,8.7141
1985,2,1,1,124,3.7613
1985,2,1,2,114,2.4863
1985,2,1,3,130,2.0152
1985,2,1,4,94,4.6507
1985,2,1,5,83,4.9392
1985,2,2,1,17,-3.1046
1985,2,2,2,25,2.8166
1985,2,2,3,25,1.3797
1985,2,2,4,20,1.7966
1985,2,2,5,21,3.1629
1985,2,3,1,8,4.7783
1985,2,3,2,13,-1.4555
1985,2,3,3,20,1.1359
1985,2,3,4,27,2.5089
1985,2,3,5,21,-1.3277
1985,3,1,1,145,-3.7582
1985,3,1,2,129,-3.9897
1985,3,1,3,138,-4.0555
1985,3,1,4,100,-1.2591
1985,3,1,5,106,-3.7919
1985,3,2,1,21,-4.8470
1985,3,2,2,28,-5.9159
1985,3,2,3,31,-6.5977
1985,3,2,4,31,-3.5697
1985,3,2,5,28,-3.4648
1985,3,3,1,7,2.0107
1985,3,3,2,18,-6.2211
1985,3,3,3,23,-3.6154
1985,3,3,4,29,0.7082
1985,3,3,5,20,-5.3589
1985,4,1,1,148,-3.4597
1985,4,1,2,137,-5.3512
1985,4,1,3,153,-2.9980
1985,4,1,4,109,-2.5592
1985,4,1,5,121,-1.6600
1985,4,2,1,21,-4.6991
1985,4,2,2,31,-4.9958
1985,4,2,3,32,-5.2995
1985,4,2,4,33,-3.9430
1985,4,2,5,27,-1.9491
1985,4,3,1,11,-5.7520
1985,4,3,2,19,-6.1117
1985,4,3,3,25,-3.7795
1985,4,3,4,27,-0.7143
1985,4,3,5,23,-3.2483
1985,5,1,1,361,-0.5954
1985,5,1,2,305,1.7945
1985,5,1,3,322,1.4720
1985,5,1,4,260,1.1432
1985,5,1,5,282,3.4053
1985,5,2,1,79,4.3690
1985,5,2,2,90,2.1917
1985,5,2,3,102,4.0715
1985,5,2,4,82,3.1072
1985,5,2,5,82,4.0413
1985,5,3,1,50,4.0814
1985,5,3,2,92,5.7675
1985,5,3,3,98,4.8554
1985,5,3,4,119,5.6793
1985,5,3,5,103,6.0956
1985,6,1,1,385,-1.6472
1985,6,1,2,326,-0.5976
1985,6,1,3,373,0.6344
1985,6,1,4,283,-0.1747
1985,6,1,5,283,1.4801
1985,6,2,1,83,-0.0764
1985,6,2,2,93,2.3298
1985,6,2,3,96,-1.0534
1985,6,2,4,91,0.0062
1985,6,2,5,86,0.3136
1985,6,3,1,60,1.9301
1985,6,3,2,102,1.0915
1985,6,3,3,101,1.1048
1985,6,3,4,118,0.8028
1985,6,3,5,106,2.3606
1985,7,1,1,390,0.9299
1985,7,1,2,328,3.3339
1985,7,1,3,377,2.6806
1985,7,1,4,298,3.7918
1985,7,1,5,290,3.3934
1985,7,2,1,87,2.2713
1985,7,2,2,91,2.0159
1985,7,2,3,102,3.5539
1985,7,2,4,90,2.6659
1985,7,2,5,91,2.6886
1985,7,3,1,62,-1.0489
1985,7,3,2,105,0.7388
1985,7,3,3,102,0.4758
1985,7,3,4,119,2.4999
1985,7,3,5,102,-1.0234
1985,8,1,1,430,-2.0030
1985,8,1,2,405,-0.8924
1985,8,1,3,450,-1.4507
1985,8,1,4,324,-0.6321
1985,8,1,5,260,1.2154
1985,8,2,1,99,-1.0860
1985,8,2,2,107,-1.2384
1985,8,2,3,111,-1.3455
1985,8,2,4,96,-1.2796
1985,8,2,5,69,-1.4483
1985,8,3,1,73,0.1453
1985,8,3,2,98,-2.3010
1985,8,3,3,127,-0.6149
1985,8,3,4,90,-0.5018
1985,8,3,5,78,0.0527
1985,9,1,1,456,-7.2629
1985,9,1,2,437,-6.0120
1985,9,1,3,450,-6.0378
1985,9,1,4,334,-4.5538
1985,9,1,5,281,-5.4100
1985,9,2,1,95,-7.5802
1985,9,2,2,107,-5.7254
1985,9,2,3,120,-6.0103
1985,9,2,4,101,-4.3874
1985,9,2,5,69,-7.5181
1985,9,3,1,70,-3.9136
1985,9,3,2,96,-2.6956
1985,9,3,3,128,-3.2206
1985,9,3,4,93,-4.0607
1985,9,3,5,86,-1.7654
1985,10,1,1,471,1.2299
1985,10,1,2,472,1.6139
1985,10,1,3,465,1.9740
1985,10,1,4,354,3.8010
1985,10,1,5,283,2.3085
1985,10,2,1,94,3.7065
1985,10,2,2,115,4.1281
1985,10,2,3,125,3.0835
1985,10,2,4,106,4.3826
1985,10,2,5,68,4.4212
1985,10,3,1,69,1.1264
1985,10,3,2,98,4.2137
1985,10,3,3,123,4.8363
1985,10,3,4,99,3.8217
1985,10,3,5,91,3.5935
1985,11,1,1,511,6.3861
1985,11,1,2,462,4.6960
1985,11,1,3,441,5.6108
1985,11,1,4,360,5.7561
1985,11,1,5,308,6.6131
1985,11,2,1,91,7.7727
1985,11,2,2,124,7.8507
1985,11,2,3,126,7.3346
1985,11,2,4,109,8.0369
1985,11,2,5,81,6.9930
1985,11,3,1,70,10.1764
1985,11,3,2,106,7.7333
1985,11,3,3,123,7.6767
1985,11,3,4,108,8.7090
1985,11,3,5,96,5.8249
1985,12,1,1,488,3.4372
1985,12,1,2,445,4.4215
1985,12,1,3,459,4.6933
1985,12,1,4,368,3.3330
1985,12,1,5,307,4.5908
1985,12,2,1,104,5.2106
1985,12,2,2,115,2.6962
1985,12,2,3,122,4.5113
1985,12,2,4,106,5.0902
1985,12,2,5,82,4.6701
1985,12,3,1,69,3.0091
1985,12,3,2,109,2.9315
1985,12,3,3,125,5.5597
1985,12,3,4,107,4.0553
1985,12,3,5,96,4.7576
1986,1,1,1,493,1.1692
1986,1,1,2,423,0.4774
1986,1,1,3,450,3.3415
1986,1,1,4,358,4.1327
1986,1,1,5,319,2.4992
1986,1,2,1,103,-2.0428
1986,1,2,2,114,1.3241
1986,1,2,3,132,1.3915
1986,1,2,4,107,0.8406
1986,1,2,5,79,1.5663
1986,1,3,1,68,1.0201
1986,1,3,2,105,0.6095
1986,1,3,3,127,-0.1160
1986,1,3,4,104,1.7489
1986,1,3,5,92,-1.5055
1986,2,1,1,450,5.1335
1986,2,1,2,418,3.7643
1986,2,1,3,457,5.2940
1986,2,1,4,387,6.1678
1986,2,1,5,319,6.1943
1986,2,2,1,115,7.1986
1986,2,2,2,112,7.3889
1986,2,2,3,114,8.1954
1986,2,2,4,110,7.1098
1986,2,2,5,72,6.1083
1986,2,3,1,89,5.5271
1986,2,3,2,96,8.0033
1986,2,3,3,113,10.1274
1986,2,3,4,92,8.7580
1986,2,3,5,84,6.1189
1986,3,1,1,453,3.2505
1986,3,1,2,433,4.8447
1986,3,1,3,439,4.1407
1986,3,1,4,390,4.6323
1986,3,1,5,311,5.8015
1986,3,2,1,105,4.4173
1986,3,2,2,112,4.6188
1986,3,2,3,122,4.3477
1986,3,2,4,116,6.7646
1986,3,2,5,75,6.4505
1986,3,3,1,85,1.6164
1986,3,3,2,100,5.7466
1986,3,3,3,119,6.3170
1986,3,3,4,84,6.7394
1986,3,3,5,84,5.6926
1986,4,1,1,445,0.0089
1986,4,1,2,438,0.8775
