year,month,rank_ME,rank_EG_6,nstocks,ret_vw
1967,1,1,1,111,20.2728
1967,1,1,2,73,19.7010
1967,1,1,3,70,20.8416
1967,1,1,4,43,19.2733
1967,1,1,5,26,16.3539
1967,1,2,1,44,19.2552
1967,1,2,2,32,20.0676
1967,1,2,3,30,15.9722
1967,1,2,4,38,15.0420
1967,1,2,5,24,17.5975
1967,1,3,1,55,9.5637
1967,1,3,2,69,9.2500
1967,1,3,3,70,6.0091
1967,1,3,4,79,10.0757
1967,1,3,5,95,8.2072
1967,2,1,1,113,5.0642
1967,2,1,2,86,3.7851
1967,2,1,3,94,5.5303
1967,2,1,4,63,2.2041
1967,2,1,5,36,5.4556
1967,2,2,1,54,0.8598
1967,2,2,2,48,2.5734
1967,2,2,3,48,3.0610
1967,2,2,4,49,3.2881
1967,2,2,5,36,2.5138
1967,2,3,1,79,-0.7296
1967,2,3,2,99,1.5945
1967,2,3,3,102,-0.4374
1967,2,3,4,115,0.8368
1967,2,3,5,116,4.0216
1967,3,1,1,115,8.4536
1967,3,1,2,95,7.2641
1967,3,1,3,101,6.4095
1967,3,1,4,68,4.8172
1967,3,1,5,38,6.4818
1967,3,2,1,57,8.6807
1967,3,2,2,53,5.8611
1967,3,2,3,54,6.8606
1967,3,2,4,52,5.4557
1967,3,2,5,40,7.2303
1967,3,3,1,86,5.3338
1967,3,3,2,104,4.3601
1967,3,3,3,108,4.2971
1967,3,3,4,122,4.8969
1967,3,3,5,121,4.7104
1967,4,1,1,120,4.7328
1967,4,1,2,101,4.1664
1967,4,1,3,107,5.9282
1967,4,1,4,69,1.6875
1967,4,1,5,43,5.0224
1967,4,2,1,60,5.8999
1967,4,2,2,58,4.0130
1967,4,2,3,55,5.4617
1967,4,2,4,56,3.7754
1967,4,2,5,44,4.2446
1967,4,3,1,89,8.9219
1967,4,3,2,106,3.5099
1967,4,3,3,113,2.0824
1967,4,3,4,128,4.9176
1967,4,3,5,123,4.7368
1967,5,1,1,138,1.5089
1967,5,1,2,140,-0.2486
1967,5,1,3,134,0.4996
1967,5,1,4,94,2.1986
1967,5,1,5,65,-0.7534
1967,5,2,1,73,-3.1221
1967,5,2,2,79,-0.3951
1967,5,2,3,70,0.4628
1967,5,2,4,72,-0.3735
1967,5,2,5,67,-2.5944
1967,5,3,1,123,-6.3276
1967,5,3,2,138,-3.9905
1967,5,3,3,155,-4.7522
1967,5,3,4,162,-3.4564
1967,5,3,5,155,-4.1088
1967,6,1,1,144,13.5201
1967,6,1,2,147,10.0887
1967,6,1,3,136,11.7422
1967,6,1,4,96,9.1893
1967,6,1,5,70,8.6592
1967,6,2,1,76,6.9145
1967,6,2,2,82,6.8802
1967,6,2,3,71,7.6865
1967,6,2,4,75,7.7908
1967,6,2,5,71,7.4465
1967,6,3,1,127,1.6684
1967,6,3,2,146,1.5455
1967,6,3,3,165,2.1848
1967,6,3,4,171,2.3667
1967,6,3,5,157,3.1941
1967,7,1,1,134,9.1034
1967,7,1,2,132,9.9953
1967,7,1,3,121,8.4568
1967,7,1,4,93,11.3646
1967,7,1,5,76,10.6195
1967,7,2,1,71,8.6968
1967,7,2,2,75,9.6825
1967,7,2,3,67,9.2220
1967,7,2,4,65,7.5688
1967,7,2,5,66,10.7658
1967,7,3,1,121,9.0167
1967,7,3,2,127,5.4687
1967,7,3,3,146,2.6807
1967,7,3,4,156,4.8800
1967,7,3,5,137,4.4280
1967,8,1,1,136,-0.7759
1967,8,1,2,139,-0.8869
1967,8,1,3,139,1.9783
1967,8,1,4,112,-1.5686
1967,8,1,5,103,2.2469
1967,8,2,1,81,-0.6195
1967,8,2,2,82,-0.9650
1967,8,2,3,74,0.1126
1967,8,2,4,76,0.8593
1967,8,2,5,80,0.6838
1967,8,3,1,137,0.4358
1967,8,3,2,148,-0.2904
1967,8,3,3,176,-1.4257
1967,8,3,4,183,-0.9187
1967,8,3,5,158,-1.2614
1967,9,1,1,134,6.9238
1967,9,1,2,135,8.3543
1967,9,1,3,138,7.1333
1967,9,1,4,114,8.1160
1967,9,1,5,106,7.6991
1967,9,2,1,82,3.6785
1967,9,2,2,84,4.4379
1967,9,2,3,73,4.2465
1967,9,2,4,75,4.8323
1967,9,2,5,87,5.9326
1967,9,3,1,140,4.1968
1967,9,3,2,154,4.4515
1967,9,3,3,175,4.6824
1967,9,3,4,186,2.6565
1967,9,3,5,157,3.2452
1967,10,1,1,98,0.1852
1967,10,1,2,109,-1.9418
1967,10,1,3,104,-0.4833
1967,10,1,4,102,-1.8115
1967,10,1,5,101,-2.6787
1967,10,2,1,71,0.2416
1967,10,2,2,77,-4.6762
1967,10,2,3,62,0.5339
1967,10,2,4,61,-4.2012
1967,10,2,5,84,-4.2475
1967,10,3,1,122,-2.4143
1967,10,3,2,126,-3.3236
1967,10,3,3,152,-0.4112
1967,10,3,4,159,-2.3943
1967,10,3,5,125,-2.2063
1967,11,1,1,111,1.8251
1967,11,1,2,123,0.5933
1967,11,1,3,123,2.1154
1967,11,1,4,120,-0.3424
1967,11,1,5,113,-0.3101
1967,11,2,1,80,1.4642
1967,11,2,2,90,1.1551
1967,11,2,3,73,-0.0482
1967,11,2,4,76,1.5230
1967,11,2,5,87,-0.7296
1967,11,3,1,139,0.0088
1967,11,3,2,156,-0.0555
1967,11,3,3,174,0.7332
1967,11,3,4,169,0.4087
1967,11,3,5,136,1.9829
1967,12,1,1,109,8.7559
1967,12,1,2,123,10.0415
1967,12,1,3,124,8.7405
1967,12,1,4,117,8.5139
1967,12,1,5,118,7.2946
1967,12,2,1,76,6.8361
1967,12,2,2,88,7.2390
1967,12,2,3,69,6.1651
1967,12,2,4,79,9.6805
1967,12,2,5,88,5.2263
1967,12,3,1,144,0.4406
1967,12,3,2,151,4.1005
1967,12,3,3,171,3.3924
1967,12,3,4,169,2.3759
1967,12,3,5,137,3.3273
1968,1,1,1,99,2.2670
1968,1,1,2,105,3.2699
1968,1,1,3,106,3.8835
1968,1,1,4,104,4.3734
1968,1,1,5,118,4.2141
1968,1,2,1,66,-2.1537
1968,1,2,2,72,-0.7796
1968,1,2,3,62,1.1427
1968,1,2,4,72,-0.1987
1968,1,2,5,76,-0.0757
1968,1,3,1,122,-7.5362
1968,1,3,2,136,-5.3186
1968,1,3,3,144,-3.9989
